user,cs_uri_stem,date,time
Ryu,/Sf7/common02/FightServer/2/query,2016-02-01,00:56:29
Ryu,/Sf7/tohoku02/FightServer/7/query,2016-02-01,00:56:29
Ryu,/Sf7/place_potential/ImageServer,2016-02-01,00:56:57
Ryu,/Sf7/place_potential/ImageServer/rasterAttributeTable,2016-02-01,00:56:57
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:56:57
Ryu,/Sf7/place_potential/ImageServer/exportImage,2016-02-01,00:56:57
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:57:02
Ryu,/Sf7/tohoku02/FightServer/6/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/0/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/1/query,2016-02-01,00:57:02
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:57:04
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:04
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:57:04
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:04
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:04
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:57:04
Ryu,/Sf7/common02/FightServer/3/query,2016-02-01,00:57:04
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/0/query,2016-02-01,00:57:05
Ryu,/Sf7/tohoku02/FightServer/1/query,2016-02-01,00:57:05
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:57:05
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:57:05
Ryu,/Sf7/Fight/BackGround,2016-02-01,00:57:05
